@relation features

@attribute meanXAcc real
@attribute meanYAcc real
@attribute meanZAcc real
@attribute stdX real
@attribute stdY real
@attribute stdZ real
@attribute avgAcc real
@attribute binX1 real
@attribute binX2 real
@attribute binX3 real
@attribute binX4 real
@attribute binX5 real
@attribute binX6 real
@attribute binX7 real
@attribute binX8 real
@attribute binX9 real
@attribute binX10 real
@attribute binY1 real
@attribute binY2 real
@attribute binY3 real
@attribute binY4 real
@attribute binY5 real
@attribute binY6 real
@attribute binY7 real
@attribute binY8 real
@attribute binY9 real
@attribute binY10 real
@attribute binZ1 real
@attribute binZ2 real
@attribute binZ3 real
@attribute binZ4 real
@attribute binZ5 real
@attribute binZ6 real
@attribute binZ7 real
@attribute binZ8 real
@attribute binZ9 real
@attribute binZ10 real
@attribute peakDistX real
@attribute peakDistY real
@attribute peakDistZ real
@attribute activity {1,2,3,4}


@data
1.2538,2.0382,2.202,1.2659,1.8288,1.7414,3.6259,0.002,0.002,0.02,0.14,0.544,0.254,0.032,0.002,0.002,0.002,0.06,0.2,0.412,0.246,0.062,0.016,0,0.002,0,0.002,0.002,0.024,0.242,0.43,0.256,0.04,0.004,0,0,0.002,482.37,590.44,468.31,3
1.2787,1.9061,1.8659,1.3028,1.7403,1.703,3.3655,0.01,0.012,0.016,0.08,0.372,0.336,0.126,0.03,0.012,0.006,0.062,0.152,0.302,0.28,0.136,0.036,0.02,0.008,0,0.004,0.004,0.006,0.034,0.1,0.334,0.334,0.14,0.026,0.018,0.004,518.11,537.56,475.61,3
1.5714,2.4509,2.3906,1.576,2.1451,2.0972,4.2528,0.006,0.01,0.03,0.116,0.358,0.36,0.076,0.04,0.002,0.002,0.044,0.112,0.198,0.35,0.184,0.072,0.028,0.01,0,0.002,0.004,0.002,0.074,0.268,0.356,0.192,0.07,0.018,0.01,0.006,566.35,568.76,742.23,3
1.479,2.4218,2.3223,1.271,2.0779,1.9976,4.1211,0.004,0.008,0.022,0.102,0.336,0.258,0.196,0.052,0.014,0.008,0.01,0.052,0.1,0.278,0.278,0.21,0.038,0.022,0.008,0.004,0.018,0.128,0.166,0.334,0.182,0.102,0.046,0.014,0.004,0.006,503.61,570.38,437.84,3
1.5906,2.3213,2.1587,1.7718,2.0394,2.0069,4.0121,0.002,0.002,0.002,0.006,0.024,0.21,0.544,0.18,0.024,0.006,0.028,0.068,0.136,0.302,0.222,0.156,0.048,0.022,0.008,0.01,0.002,0.002,0.006,0.046,0.17,0.386,0.238,0.102,0.022,0.026,448.72,484.65,556.5,3
1.6673,2.6669,2.5682,1.6174,2.4113,2.1061,4.5569,0.002,0.002,0.004,0.008,0.036,0.244,0.474,0.168,0.05,0.012,0.034,0.062,0.196,0.324,0.25,0.084,0.026,0.016,0.002,0.006,0.01,0.104,0.218,0.308,0.164,0.102,0.048,0.024,0.016,0.006,431.78,584.18,602.93,3
1.7219,2.5848,2.3351,1.979,2.4593,2.156,4.4645,0.002,0.002,0.012,0.064,0.45,0.41,0.044,0.008,0.006,0.002,0.014,0.026,0.13,0.306,0.352,0.1,0.048,0.014,0.008,0.002,0.008,0.086,0.232,0.37,0.2,0.064,0.018,0.016,0.002,0.004,487.94,624.47,621.8,3
1.6017,2.5205,2.2536,1.4401,2.3136,1.9241,4.2418,0.004,0.028,0.13,0.306,0.32,0.142,0.042,0.016,0.004,0.008,0.008,0.044,0.092,0.294,0.33,0.164,0.028,0.026,0.008,0.006,0.064,0.174,0.25,0.266,0.126,0.07,0.024,0.01,0.008,0.008,474.35,715.85,556,3
2.8944,5.6686,4.6745,3.4466,5.7257,5.8348,8.9232,0.004,0.01,0.06,0.482,0.374,0.048,0.008,0.006,0.002,0.006,0.058,0.154,0.254,0.322,0.094,0.038,0.032,0.024,0.012,0.012,0.004,0.002,0.008,0.05,0.326,0.496,0.074,0.024,0.004,0.012,424.78,374.64,293.61,3
3.5278,6.288,5.9162,4.0613,5.9483,6.8101,10.642,0.004,0.02,0.07,0.456,0.388,0.04,0.01,0.006,0.002,0.004,0.106,0.184,0.308,0.192,0.096,0.044,0.022,0.016,0.008,0.024,0.016,0.026,0.07,0.338,0.388,0.098,0.014,0.02,0.008,0.022,375.73,447,279.62,3
